trace_id,0_gateway,1_ticket_reserve,2_ticket_explore,3_security,4_ticket_info,5_order,6_basic_info,7_config,8_station,9_train,10_contact,11_price
r6gk5c98zhe7xxvn,469,1593,1688,1246,1679,3990,1989,809,702,243,282,264
ml65dz5e5usom6o1,348,573,965,2319,470,2125,406,453,1259,157,756,713
3rz06p85utsqbpmr,747,752,1396,1277,1341,3206,1843,302,393,308,1595,286
qz5lgcskhb1agtes,239,1329,2248,1334,2029,2953,198,275,868,1039,352,758
cr9ouxk78o4exfkb,371,654,826,2675,989,3307,198,380,704,713,1612,172
eygm41hipky6um9u,483,632,452,402,1957,2652,2867,100,958,637,1336,988
4e7heyiymmkzp989,695,1526,858,1459,2231,2842,1580,130,141,530,1303,448
davmlwa5e1jmbuas,1188,1763,1176,1895,1860,1803,1562,293,947,772,763,630
8mjop8nrkm15fqc5,395,1361,1002,1640,1415,2528,198,252,779,552,155,695
7mvjdlbrjlaoehzb,1000,1195,1163,1251,1846,301,2496,320,596,379,1381,382
nfhh2ha6ia36wgw8,1031,1434,504,1680,922,1970,1344,518,477,885,1507,553
7v46vyn4pma2sl6i,567,1231,452,310,2544,3170,2295,499,808,301,1239,794
njlt11n0vj7v0k66,246,1668,1655,1340,1758,1871,983,519,930,124,1297,1366
qaqmht9ye9p9jj6f,822,1337,1286,1806,664,1531,3368,192,893,940,1040,277
o5r5vn3ljrq4dr5o,1186,1355,535,1304,2330,570,752,474,1110,511,1529,554
37tan3cp7wpt7hme,984,1552,452,1668,1638,1649,1918,366,873,590,369,698
rhaqag9u2cfbh8d4,718,818,1212,3096,1468,3279,3003,338,716,756,1304,670
t49vqcu3k3c3s7v8,614,603,2026,1739,949,2172,264,100,930,251,1346,274
ep5hng5ne65a9nva,105,1687,735,1865,2422,3103,2717,100,438,732,971,633
rtagvys1hwjvgyei,789,723,452,2042,655,1047,766,627,1090,440,1014,237
yxigtbqa4kus6onp,728,1907,1780,1253,1906,588,922,379,413,122,1576,518
j466tadgn5i60gg6,566,1760,452,1333,485,838,1332,472,411,714,229,738
1h1blf0sel47sifd,793,1243,1394,944,338,2114,3028,174,1353,542,1868,224
hlgzn4mvflmr44rl,665,1878,1656,1526,1934,2128,817,531,630,929,1330,777
w21vbe5z9x8gwk4g,899,2034,452,1129,794,1376,1289,547,450,544,795,670
jtcijegr8zepsgzp,958,1531,1945,1992,252,3129,1935,730,941,395,456,341
n56v3k13rl097a06,478,1170,1051,1402,766,1375,3156,175,1109,122,528,242
6r72fooj91efiedm,690,1387,1795,1331,1688,1600,1250,362,204,239,1539,592
ohdsfmcne6aav1aj,428,929,1084,1320,1116,1693,560,213,141,613,773,1142
3uzd6o8y83vvr4ra,731,892,452,1278,1255,1653,415,605,1018,977,155,586
8xp6dvcdr0uo5d4n,530,451,857,607,1607,2465,2699,367,764,598,336,806
ys9sxt37wf77v6yg,678,1490,1888,1584,532,2331,2214,459,629,489,1324,319
otcnce1uacy0r8gg,105,1206,1567,1975,747,2001,1754,321,362,325,155,374
at7x87legothum5g,776,301,452,1480,1621,2336,1316,376,647,340,1065,330
gfbftuwp500uaen8,607,719,1168,906,1956,2134,2476,284,141,537,622,579
0cqgux34x2za3nbi,550,1065,1537,585,647,892,1959,362,1438,482,1015,941
